"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
工业总产值:黑龙江:哈尔滨市,百万人民币,162117.9254,10651771180,103207.4182,0.329937171,-1.48030104,0.636619412,41861.23,323692.81,142414.29,20,,,,,,,,,,,,,,,,,,,50119.30,55222.88,,41861.23,50541.53,52761.95,61107.10,72150.89,88620.00,119745.62,133540.23,151288.35,182476.77,199061.35,230473.64,256413.87,250374.00,297060.00,322463.70,303383.29,323692.81,,
工业总产值:黑龙江:齐齐哈尔市,百万人民币,52086.77665,1365445019,36951.92849,0.351595213,-1.698793593,0.709430125,12746.33,107966.279,40145.695,20,,,,,,,,,,,,,,,,,,,15733.40,16480.86,,12746.33,13974.37,15126.12,16216.95,17648.87,23025.62,28507.03,34018.62,46272.77,59605.98,63021.78,83205.61,98637.99,89191.92,97690.00,98724.91,103940.13,107966.28,,
工业总产值:黑龙江:鸡西市,百万人民币,16900.2716,107466833.7,10366.62113,0.734258798,-0.726533482,0.613399677,6044.57,37042,13558.47,20,,,,,,,,,,,,,,,,,,,7970.37,8396.64,,6044.57,6359.12,6450.06,7148.71,7789.50,9387.65,11474.99,13194.55,13922.39,20738.29,20582.82,28893.86,35883.83,37042.00,32520.00,25044.68,20628.15,18533.25,,
工业总产值:黑龙江:鹤岗市,百万人民币,13233.578,102141164.9,10106.49122,0.945405827,0.007889913,0.763700582,3320.37,36562.17,11493.475,20,,,,,,,,,,,,,,,,,,,4251.04,4598.19,,3440.63,3320.37,3443.44,4134.27,3940.01,5835.95,9729.59,10325.90,12661.05,17130.46,21423.63,28441.94,36562.17,30691.00,22490.00,14228.58,14131.95,13891.39,,
工业总产值:黑龙江:双鸭山市,百万人民币,20904.1727,413210547.5,20327.58096,1.213774018,0.607276704,0.972417385,3183.41,68390,13019.615,20,,,,,,,,,,,,,,,,,,,4815.62,5340.31,,3183.41,3434.43,4087.64,3845.67,4768.86,5639.97,7400.93,10724.46,15314.77,22137.46,28688.21,36187.86,50737.90,63231.66,68390.00,29623.67,25150.42,25380.21,,
工业总产值:黑龙江:大庆市,百万人民币,245253.8328,16588163449,128795.0444,0.215230073,-1.175293643,0.525149976,66143.55,450624.107,255729.535,20,,,,,,,,,,,,,,,,,,,66143.55,75301.35,,83630.19,133877.19,121383.69,114626.55,142806.34,166855.20,228544.51,263407.06,274914.99,319649.62,248052.01,328796.01,420579.11,428034.32,448150.00,450624.11,305174.71,284526.15,,
工业总产值:黑龙江:伊春市,百万人民币,9402.709,30973468.18,5565.381225,0.876168029,-0.606678704,0.591891254,4114.13,20300,7503.38,20,,,,,,,,,,,,,,,,,,,5416.45,5451.73,,4114.13,4242.34,4268.36,4348.61,4177.14,5107.09,5798.88,6660.83,8345.93,11183.23,12289.40,19457.40,17631.32,17881.76,20300.00,12853.76,9583.94,8941.89,,
工业总产值:黑龙江:佳木斯市,百万人民币,24477.7218,477028711.6,21840.98696,0.886427901,-0.906926875,0.892280219,5711.38,65915.479,11953.14,20,,,,,,,,,,,,,,,,,,,8319.03,8984.55,,5711.38,6248.24,6623.16,7484.17,6442.31,7644.31,9035.18,11021.18,12885.10,17005.68,21481.42,31393.80,39342.16,50648.72,62350.00,65915.48,57952.83,53065.73,,
工业总产值:黑龙江:七台河市,百万人民币,15408.823,180096680.8,13420.01046,0.924743952,-0.223717766,0.870930276,2527.2,44478,12559.565,20,,,,,,,,,,,,,,,,,,,2838.40,3274.93,,2527.20,2617.71,2644.62,3542.16,4435.13,6377.72,9105.87,11069.54,14049.59,23385.80,28746.00,44478.00,39792.34,36818.00,23710.00,18820.91,15490.28,14452.26,,
工业总产值:黑龙江:牡丹江市,百万人民币,38161.60895,1153599843,33964.68523,0.972661845,-0.740677652,0.890022359,10718.45,102664.8,18283.475,20,,,,,,,,,,,,,,,,,,,13826.94,13940.51,,11369.00,10806.57,12823.98,12337.89,10718.45,12679.36,13394.12,16682.77,19884.18,25294.20,30732.36,45041.98,59498.77,72510.00,86820.00,94190.42,98015.88,102664.80,,
工业总产值:黑龙江:黑河市,百万人民币,5932.4697,22294999.71,4721.758116,0.647865462,-1.443197306,0.79591778,1776.75,13484.505,2637.11,20,,,,,,,,,,,,,,,,,,,2802.12,2472.10,,1985.12,2012.12,2458.57,1808.77,1897.68,1776.75,1882.47,2271.56,2448.44,5474.38,5949.36,9467.08,10468.80,10885.00,12730.00,13215.76,13158.81,13484.51,,
工业总产值:黑龙江:绥化市,百万人民币,36154.06259,1255308386,35430.33144,0.896730903,-0.891463798,0.979982024,5794.29,100719.656,18071.44,17,,,,,,,,,,,,,,,,,,,,,,,6185.00,5840.80,5794.29,6710.56,8357.49,9784.78,11779.56,14449.12,18071.44,21278.75,32688.00,43566.70,62082.24,84100.00,87058.57,96152.11,100719.66,,
工业总产值:上海,百万人民币,1250172.341,1.73108E+12,1315704.584,0.734117314,-1.180312574,1.052418567,51401,3484184,576367,41,51401.00,55630.00,59875.00,62012.00,63465.00,66353.00,72812.00,86273.00,95221.00,107384.00,130466.00,152467.00,164275.00,194718.00,242996.00,332704.00,425519.00,454747.00,512622.00,564993.00,576367.00,621324.00,702298.00,780618.00,873000.00,1170849.00,1459529.00,1687678.00,1963123.00,2310863.00,2596838.00,2488808.00,3103857.00,3383444.00,3318641.00,3389938.00,3407119.00,3321157.00,3307972.00,3413526.00,3484184.00
工业总产值:江苏:南京市,百万人民币,622358.8668,2.08732E+11,456872.0602,0.418939697,-1.441905911,0.734097455,100696.37,1319967,524048.5,20,,,,,,,,,,,,,,,,,,,100696.37,109817.45,,130727.37,160278.81,177356.01,197325.04,250938.16,328502.12,406348.43,469281.06,578815.94,647223.36,679976.52,860949.98,1035464.52,1143780.20,1264714.00,1319967.00,1290513.00,1294502.00,,
工业总产值:江苏:无锡市,百万人民币,807885.0515,2.99574E+11,547333.8617,0.028924376,-1.80363208,0.677489775,140736.01,1489065,802758.085,20,,,,,,,,,,,,,,,,,,,140736.01,142145.87,,155146.40,177906.64,201094.52,244508.45,328473.44,457507.80,571799.88,711529.03,893987.14,1028167.14,1084152.88,1297108.11,1456838.43,1444685.29,1489065.00,1442566.00,1454987.00,1435296.00,,
工业总产值:江苏:徐州市,百万人民币,423808.0376,2.1194E+11,460369.6325,0.972084647,-0.614198395,1.086269234,42506.72,1364436,188805.96,20,,,,,,,,,,,,,,,,,,,44356.42,46492.61,,42506.72,46644.45,51435.52,60044.65,72612.81,95218.96,122826.91,163254.65,214357.27,284667.82,359750.51,511296.60,695065.33,888228.52,1052310.00,1139064.00,1221591.00,1364436.00,,
工业总产值:江苏:常州市,百万人民币,493899.9956,1.66896E+11,408528.7524,0.500932028,-1.32998697,0.827148727,62923.1,1209682,377384.07,20,,,,,,,,,,,,,,,,,,,65571.20,62923.10,,76993.37,87463.25,100124.88,116701.67,152727.69,201272.89,250419.03,329377.18,425390.96,516648.56,598290.73,739608.51,827077.03,897029.86,1006788.00,1103746.00,1110164.00,1209682.00,,
工业总产值:江苏:苏州市,百万人民币,1687433.486,1.49611E+12,1223156.843,-0.016016311,-1.780469407,0.724862256,153408.05,3310000,1726952.36,22,,,,,,,,,,,,,,,,,,,153408.05,161907.42,,192634.41,239650.52,278479.05,346587.27,497650.79,730754.45,990858.43,1253851.24,1590891.77,1863012.95,2028449.54,2465166.65,2777849.06,2874554.09,3039290.00,3032217.00,3024925.00,3071399.00,3200000.00,3310000.00
工业总产值:江苏:南通市,百万人民币,525678.6087,2.3889E+11,488763.3939,0.692410027,-1.010181764,0.929776076,59670.97,1452572,348947.3,20,,,,,,,,,,,,,,,,,,,60228.05,63433.27,,59670.97,69710.02,77543.74,87754.90,112390.73,160336.41,214338.53,294952.74,402941.86,516242.48,609489.00,738316.30,867981.71,989012.46,1135154.00,1249970.00,1351533.00,1452572.00,,
工业总产值:江苏:连云港市,百万人民币,170373.758,39034081559,197570.4471,1.1399205,-0.152766469,1.159629566,20110.29,597481,57941.095,20,,,,,,,,,,,,,,,,,,,20110.29,22862.94,,20964.30,22917.95,24449.24,28837.84,21146.02,28820.34,34286.73,46324.67,69557.52,97398.15,131426.54,193628.14,263052.49,341338.00,413059.00,486500.00,543314.00,597481.00,,
工业总产值:江苏:淮安市,百万人民币,203813.1295,52803050676,229789.1439,1.13753748,-0.094221606,1.127450153,18872.56,695132,91920.72,20,,,,,,,,,,,,,,,,,,,18974.87,20880.49,,18872.56,23035.98,26250.58,30378.54,35367.44,45090.09,56860.70,79407.25,104434.19,125488.16,162189.53,243911.00,294009.30,395260.91,480292.00,564377.00,656050.00,695132.00,,
工业总产值:江苏:盐城市,百万人民币,297902.2125,84026602808,289873.4255,0.964117305,-0.401012725,0.973048918,42601.98,918084,161128.375,20,,,,,,,,,,,,,,,,,,,42601.98,45982.63,,44477.86,49906.88,55204.51,64280.89,76145.22,88892.30,109770.40,137814.74,184442.01,251503.54,309038.88,393834.00,436007.00,555435.41,645458.00,723802.00,825362.00,918084.00,,
工业总产值:江苏:扬州市,百万人民币,375999.688,1.18372E+11,344052.4556,0.60417715,-1.331199922,0.915033886,49984.37,966165,224139.725,20,,,,,,,,,,,,,,,,,,,49984.37,50264.97,,52080.87,59634.40,60998.31,67383.21,83723.54,112955.55,144882.31,189188.03,259091.42,351756.02,445967.74,575334.21,677279.00,719847.81,849939.00,884099.00,919419.00,966165.00,,
工业总产值:江苏:镇江市,百万人民币,321085.133,89790128114,299650.0094,0.805199394,-0.911256668,0.933241619,43485.92,872284,188674.77,20,,,,,,,,,,,,,,,,,,,43485.92,43837.75,,49183.55,54617.48,61324.97,72660.91,85535.54,107311.22,133140.90,162878.31,214471.23,278031.56,324005.66,419041.78,520766.77,610569.11,719727.00,808447.00,840382.00,872284.00,,
工业总产值:江苏:泰州市,百万人民币,377042.6999,1.53572E+11,391882.4727,0.992203919,-0.343142905,1.039358335,40337.72,1217080,196556.525,20,,,,,,,,,,,,,,,,,,,41597.23,41652.38,,40337.72,44380.39,49938.52,57982.34,73664.58,99734.94,121679.79,166454.19,226658.86,294982.00,376946.34,491607.75,581312.51,712729.46,850165.00,945636.00,1106314.00,1217080.00,,
工业总产值:江苏:宿迁市,百万人民币,111330.9476,19161463803,138424.9392,1.227323171,0.05199137,1.243364422,7938.62,409670,35968.085,20,,,,,,,,,,,,,,,,,,,10434.44,10443.57,,7938.62,9139.82,10513.32,12139.90,13993.68,14807.16,19582.10,28897.31,43038.86,58181.55,79320.42,113736.60,152230.09,224827.51,284515.00,336877.00,386332.00,409670.00,,
工业总产值:浙江:杭州市,百万人民币,739067.8794,2.29239E+11,478789.3446,-0.155651768,-1.748375485,0.647828647,88311.67,1296376,835140.29,21,,,,,,,,,,,,,,,,,,,88311.67,91146.51,,120007.96,154356.82,191951.33,240029.72,320252.26,414910.39,544112.71,697545.91,835140.29,937957.92,939073.33,1107964.96,1235292.49,1296228.00,1240798.00,1285305.18,1241568.02,1242096.00,1296376.00,
工业总产值:浙江:宁波市,百万人民币,741612.1819,2.8264E+11,531639.4228,0.130457961,-1.592419662,0.716869862,86135.83,1585089,778901.4,21,,,,,,,,,,,,,,,,,,,86135.83,86166.64,,106228.66,142769.77,162965.74,200016.37,263028.62,350947.91,489096.69,618791.33,778901.40,853790.53,827284.70,1061874.25,1204476.99,1215507.60,1301009.00,1402805.01,1386945.78,1450024.00,1585089.00,
工业总产值:浙江:温州市,百万人民币,282406.8048,30633105208,175023.1562,-0.192952827,-1.642461664,0.619755449,34645.22,522958,334317.49,21,,,,,,,,,,,,,,,,,,,34645.22,44856.90,,45187.20,62589.05,83352.48,105332.28,126596.36,182177.11,224397.48,272759.06,334317.49,350842.77,364871.49,449487.01,438601.65,424862.49,451656.00,484401.87,494422.99,522958.00,432228.00,
工业总产值:浙江:嘉兴市,百万人民币,367459.9995,83519144511,288996.7898,0.351826543,-1.432104894,0.786471426,45632.73,861225,333816.12,21,,,,,,,,,,,,,,,,,,,45632.73,47706.00,,47584.10,57552.23,64250.95,78748.32,111352.72,140063.18,217895.94,268909.78,333816.12,383942.73,386398.62,510285.08,576336.03,603993.21,689367.00,746375.40,756930.85,788294.00,861225.00,
工业总产值:浙江:湖州市,百万人民币,201148.1438,25234923094,158855.038,0.407597706,-1.404208522,0.789741506,27417.8,460605,176051.67,21,,,,,,,,,,,,,,,,,,,27417.80,27704.53,,30408.18,35574.51,40950.37,45932.04,58861.52,76636.51,107079.01,138552.97,176051.67,213849.57,219808.61,266653.26,289004.59,333383.20,382802.00,420139.60,441310.08,460605.00,431386.00,
工业总产值:浙江:绍兴市,百万人民币,489445.0181,1.19078E+11,345076.8996,0.167902548,-1.580208205,0.705037107,57369.86,982694,486900.61,21,,,,,,,,,,,,,,,,,,,57369.86,57563.82,,89591.60,104513.06,120192.85,147140.46,189539.57,251424.80,321507.38,391086.89,486900.61,539019.74,551890.53,679718.68,793268.32,855125.33,933931.00,973530.42,974638.46,982694.00,777698.00,
工业总产值:浙江:金华市,百万人民币,222599.7329,28574107371,169038.7748,0.151543021,-1.579931968,0.759384446,18351.08,472084.27,224624.02,21,,,,,,,,,,,,,,,,,,,20712.01,18351.08,,22775.92,28830.34,33118.91,49489.74,72904.49,100607.19,139852.50,179941.01,224624.02,248254.06,267365.85,341178.90,351434.56,379197.28,423336.00,458587.26,472084.27,470577.00,371372.00,
工业总产值:浙江:衢州市,百万人民币,73324.49333,3715384505,60953.95397,0.316195023,-1.703883122,0.83129049,7763.59,158466.38,57093.22,21,,,,,,,,,,,,,,,,,,,10531.04,9678.21,,7763.59,8938.98,11168.32,13166.43,16884.61,23594.68,32120.86,42720.56,57093.22,74330.34,83259.49,108711.64,130086.18,133099.92,149195.00,158466.38,156289.91,158195.00,154520.00,
工业总产值:浙江:舟山市,百万人民币,65069.3125,3668394060,60567.26888,0.670453305,-0.944493847,0.930811569,5130.08,187211,42337.23,20,,,,,,,,,,,,,,,,,,,5130.08,5252.64,,5821.65,7421.64,8865.76,12006.61,15302.56,20248.45,28334.16,36038.96,48635.50,67186.54,79056.01,97905.17,110517.33,119983.34,133356.00,149776.09,163336.76,187211.00,,
工业总产值:浙江:台州市,百万人民币,230377.6467,22799233269,150994.1498,-0.153136481,-1.65597793,0.655420142,19157.15,447108,274065.57,21,,,,,,,,,,,,,,,,,,,20494.89,19157.15,,38201.64,48154.86,61124.31,72692.45,95582.09,131162.90,173769.57,222880.36,274065.57,306086.21,286987.50,363079.93,344845.24,353081.16,380576.00,405252.39,385224.36,408404.00,447108.00,
工业总产值:浙江:丽水市,百万人民币,88882.055,4387780669,66240.3251,0.189528977,-1.596554621,0.745260954,7476.63,183923.26,82964.565,18,,,,,,,,,,,,,,,,,,,,,,,7476.63,9628.58,12488.52,16711.70,23388.94,31680.87,41877.78,57879.14,79162.31,86766.82,113907.37,129808.20,156298.72,179341.00,183923.26,170436.15,179001.00,120100.00,
工业总产值:安徽:合肥市,百万人民币,322718.5497,1.2716E+11,356595.5421,0.916270674,-0.833619363,1.1049738,24529.63,1012452,130106.835,20,,,,,,,,,,,,,,,,,,,24529.63,25575.19,,25141.25,29685.52,35533.52,44689.44,53486.05,71636.10,88082.30,110900.10,149313.57,207837.44,276640.11,379901.80,561740.53,736279.00,827448.00,858940.00,934559.44,1012452.00,,
工业总产值:安徽:芜湖市,百万人民币,198016.6186,48275288162,219716.3812,0.939806752,-0.738778662,1.109585563,12553.91,631927,85807.44,20,,,,,,,,,,,,,,,,,,,15441.73,18159.29,,12553.91,14756.45,19410.42,24423.96,33069.14,46582.62,53965.59,74454.67,97160.21,128477.80,160594.17,225101.25,370049.36,425002.07,480886.00,545416.00,582900.73,631927.00,,
工业总产值:安徽:蚌埠市,百万人民币,79032.32,8731379807,93441.85255,1.275400078,0.346180091,1.182324555,8017.03,297645,29444.73,20,,,,,,,,,,,,,,,,,,,12427.54,14127.82,,8017.03,8612.84,9369.53,10868.18,13126.19,16679.64,17743.16,26141.45,32748.01,41663.49,53011.39,77268.42,129069.82,148629.30,182262.00,221554.00,259681.59,297645.00,,
工业总产值:安徽:淮南市,百万人民币,49252.63089,1442106660,37975.07946,0.374480008,-1.686339777,0.771026416,9137.86,107769,32567.445,20,,,,,,,,,,,,,,,,,,,11525.05,11983.52,,9137.86,9744.53,10644.34,13301.05,15346.84,22135.88,28214.16,30498.36,34636.53,55453.68,63835.15,78893.04,89323.20,99407.30,107769.00,95392.00,97042.13,100769.00,,
工业总产值:安徽:马鞍山市,百万人民币,106306.8794,9171321732,95767.01798,0.650098873,-1.11604495,0.90085438,11329.2,281076,72165.62,20,,,,,,,,,,,,,,,,,,,14174.62,15241.88,,11329.20,13241.01,15543.87,18405.26,25682.30,39806.87,53765.39,58907.59,85423.65,116207.54,113052.31,135758.19,178991.70,201695.17,237739.00,256021.00,254075.04,281076.00,,
工业总产值:安徽:淮北市,百万人民币,66615.12975,4701713372,68569.04092,0.825188704,-1.07621191,1.029331342,7717.02,182594,26937.415,20,,,,,,,,,,,,,,,,,,,10234.85,10225.40,,7717.02,8183.43,9298.78,10811.85,12161.61,18215.12,22701.66,24071.65,29803.18,47930.99,57657.11,88141.20,120277.73,145422.82,163749.00,181645.00,181460.20,182594.00,,
工业总产值:安徽:铜陵市,百万人民币,81121.62598,6581494391,81126.40995,0.817727239,-0.825547786,1.000058973,7351.82,241696,53635.41,20,,,,,,,,,,,,,,,,,,,7351.82,8109.89,,7688.81,9044.64,9478.76,10655.68,14503.54,22342.66,31634.63,48619.14,58651.68,66386.90,64310.51,110423.03,152465.86,162902.30,178090.00,191176.00,226900.67,241696.00,,
工业总产值:安徽:安庆市,百万人民币,106127.48,11145949519,105574.3791,0.875902472,-0.884938204,0.994788335,15190.21,301146,53113.35,20,,,,,,,,,,,,,,,,,,,16152.54,20304.21,,15190.21,18669.46,17534.53,18902.86,22518.98,29731.17,35797.73,45564.11,60662.59,77875.73,95875.87,131594.01,181104.89,212425.21,258089.00,301146.00,272316.50,291094.00,,
工业总产值:安徽:黄山市,百万人民币,22637.40455,481835108.5,21950.74278,0.706205358,-1.151915283,0.969666939,2418.36,63403,12817.835,20,,,,,,,,,,,,,,,,,,,3789.80,3933.98,,2418.36,2691.67,2936.63,3192.26,3954.49,5281.53,7423.67,10515.70,15119.97,20689.03,22461.16,33068.97,42694.10,44720.48,51113.00,56545.00,56795.29,63403.00,,
工业总产值:安徽:滁州市,百万人民币,88534.83179,8472173282,92044.4093,1.042504938,-0.362911767,1.039640641,11114.22,286061,38200.18,20,,,,,,,,,,,,,,,,,,,24921.41,29008.21,,11114.22,11804.33,12713.31,13910.20,16295.31,21136.48,25978.01,32706.52,43693.84,59618.02,69042.92,105297.00,154387.07,168082.00,200294.00,227922.00,256710.79,286061.00,,
工业总产值:安徽:阜阳市,百万人民币,64083.32303,4754660667,68954.0475,1.294007366,0.589311233,1.076006116,6988.3,229304,33321.52,20,,,,,,,,,,,,,,,,,,,32315.31,34327.73,,12484.11,7597.72,6988.30,7630.84,8919.24,10541.60,15986.34,20711.26,30165.81,41210.35,50422.82,70370.12,92450.68,107332.00,135768.00,168171.00,198969.23,229304.00,,
工业总产值:安徽:宿州市,百万人民币,55323.477,3820661616,61811.50068,0.92367993,-0.597731372,1.11727433,3486.12,184865,21950.56,19,,,,,,,,,,,,,,,,,,,3486.12,,,3817.71,3938.14,4213.17,4600.96,4633.44,7689.16,10352.85,14592.00,21950.56,35599.93,47392.75,67691.81,117162.64,94127.77,120250.00,142457.00,162325.05,184865.00,,
工业总产值:安徽:巢湖市,百万人民币,27648.39667,621292644,24925.7426,1.199721239,0.558007838,0.901525788,6595.79,82617.43,17624.245,12,,,,,,,,,,,,,,,,,,,,,,6595.79,6790.61,7464.01,8229.92,10509.97,15754.90,19493.59,26331.60,37807.16,50799.78,59386.00,82617.43,,,,,,,,
工业总产值:安徽:六安市,百万人民币,66331.40667,4156443240,64470.48348,0.623214902,-1.407206829,0.971945067,7408.41,175102,37427.57,18,,,,,,,,,,,,,,,,,,,,,,7408.41,7574.78,7869.11,7887.81,8414.04,11439.71,14544.50,20207.19,31564.48,43290.66,55667.29,83270.00,111065.49,139232.00,152501.00,175102.00,154209.85,162717.00,,
工业总产值:安徽:亳州市,百万人民币,35603.63442,1280022861,35777.40713,0.860757285,-0.792784252,1.004880757,3861.18,105497,19060.99,17,,,,,,,,,,,,,,,,,,,,,,,4779.51,3861.18,3903.66,4578.27,6387.43,7892.65,10126.29,13851.98,19060.99,23790.05,32433.41,52464.08,61890.64,74365.00,84441.00,95938.65,105497.00,,
工业总产值:安徽:池州市,百万人民币,27031.99055,773437816.2,27810.75001,0.816262466,-0.838786083,1.028808809,1603.62,80524,14796.6,17,,,,,,,,,,,,,,,,,,,,,,,1603.62,1635.03,2075.83,3007.23,4280.39,5156.53,7011.30,8857.61,14796.60,19697.78,29729.71,37159.74,49092.93,55291.00,65582.00,74042.54,80524.00,,
工业总产值:安徽:宣城市,百万人民币,79239.38619,4668575293,68326.97339,0.425866078,-1.507909188,0.862285496,7653.14,192012,59455.83,17,,,,,,,,,,,,,,,,,,,,,,,7653.14,8074.46,8691.18,10827.57,15804.25,20099.39,30200.72,43939.51,59455.83,73043.09,106776.43,141958.21,128275.86,150068.00,170552.00,179637.93,192012.00,,
工业总产值:福建:福州市,百万人民币,337224.682,74066085175,272150.85,0.630792546,-1.05163197,0.80703123,43889.51,841964.64,249102.635,20,,,,,,,,,,,,,,,,,,,43889.51,52071.24,,65553.51,75011.07,78744.38,97000.27,128895.73,167089.52,186017.50,223045.05,275160.22,351778.47,363465.60,454541.15,532117.70,595489.00,678633.00,749525.63,784500.45,841964.64,,
工业总产值:福建:厦门市,百万人民币,294231.7373,37538775282,193749.2588,0.204863875,-1.324847527,0.658492046,39587.5,639232,277694.525,22,,,,,,,,,,,,,,,,,,,39587.50,47372.95,,57511.24,69967.57,80328.77,102548.69,132015.00,179666.27,202911.74,236786.16,274112.78,297022.77,281276.27,368894.83,439951.76,448634.99,471621.00,489493.07,502867.88,519797.98,591497.00,639232.00
工业总产值:福建:莆田市,百万人民币,93560.9,8458482067,91970.00635,0.895468722,-0.538140622,0.98299617,8419.93,283950.53,55497.285,20,,,,,,,,,,,,,,,,,,,9532.13,8419.93,,9660.45,11670.37,14855.07,18053.55,21918.47,27735.95,37688.08,48278.53,62716.04,80398.41,95909.18,126653.14,152381.21,167661.91,200892.00,231501.27,261341.78,283950.53,,
