,单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
财政收入:山东:聊城市,百万人民币,9729.825,43426012.76,6589.841634,0.329396757,-1.610652972,0.677282647,2023.56,19427,8353.26,16,,,,,,,,,,,,,,,,,,,,,,,,,,2023.56,2243.28,2624.66,3364.19,4239.60,4893.24,5537.62,7050.22,9656.30,10448.88,13555.03,15619.44,17593.18,18749.83,18651.17,19427.00
财政收入:山东:滨州市,百万人民币,12250.87188,61518302.27,7843.360394,0.123862103,-1.548418229,0.640228751,1756.91,24054,11737.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,1756.91,2200.66,3211.02,4512.16,5937.07,7036.67,8017.07,10398.79,13076.01,15046.01,17009.01,18714.56,20414.81,22000.82,22628.38,24054.00
财政收入:山东:菏泽市,百万人民币,10316.75688,49045284.45,7003.233857,0.080786005,-1.757727038,0.678821256,1596.53,20603,9814.09,16,,,,,,,,,,,,,,,,,,,,,,,,,,1596.53,1722.45,2115.47,3003.55,4211.22,5048.47,6057.31,8468.73,11159.45,14030.04,15930.01,16196.58,17765.71,18504.47,18655.12,20603.00
财政收入:河南:郑州市,百万人民币,53004.58875,1414038256,37603.70004,0.368863985,-1.437479386,0.709442351,6587.37,115205.49,44455.565,16,,,,,,,,,,,,,,,,,,,,,,,,,,6587.37,10482.32,13612.61,17602.66,21951.83,26038.99,30192.48,38680.40,50230.73,60664.88,72360.91,83387.61,94289.68,101118.33,105667.13,115205.49
财政收入:河南:开封市,百万人民币,5850.931875,20426089.75,4519.523177,0.540320713,-1.265448805,0.772445018,875.01,14068.07,4303.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,875.01,1132.57,1398.30,1626.38,2031.60,2612.58,2954.95,3703.06,4904.74,6191.75,8074.19,9618.69,10827.50,11321.25,12274.27,14068.07
财政收入:河南:洛阳市,百万人民币,17658.96563,110348760.5,10504.70183,0.203118487,-1.389161378,0.59486507,3020.95,34266.73,16014.85,16,,,,,,,,,,,,,,,,,,,,,,,,,,3020.95,4280.68,6095.66,7661.93,10017.45,11656.58,12029.07,14202.32,17827.38,20526.37,23404.80,26025.79,28668.87,30265.63,32593.24,34266.73
财政收入:河南:平顶山市,百万人民币,8462.765,20328827.53,4508.750107,-0.164545688,-1.313970715,0.532775057,1374.55,15437.7,8793.89,16,,,,,,,,,,,,,,,,,,,,,,,,,,1374.55,1996.11,2907.76,4040.19,5010.28,6252.03,7029.97,8058.39,9529.39,10735.68,11973.85,13071.55,11787.62,12446.02,13753.15,15437.70
财政收入:河南:安阳市,百万人民币,7405.7125,16809218.61,4099.904708,0.364377214,-0.856008237,0.553613809,1777.17,15405.31,7120.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,1777.17,2369.57,2901.42,3457.52,4247.49,5005.58,5519.31,6505.01,7735.59,8357.01,9220.13,10326.39,10964.34,11744.74,12954.82,15405.31
财政收入:河南:鹤壁市,百万人民币,2994.25,4273715.288,2067.296613,0.390813756,-1.369816469,0.69042218,440.39,6454.09,2508.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,440.39,574.60,811.07,1062.43,1400.21,1587.39,1800.61,2215.41,2801.59,3265.89,3964.00,4710.69,5286.08,5560.89,5972.66,6454.09
财政收入:河南:新乡市,百万人民币,8756.868125,30533270.61,5525.691867,0.142964561,-1.643752938,0.631012342,1554.82,17266.23,8059.41,16,,,,,,,,,,,,,,,,,,,,,,,,,,1554.82,1990.03,2536.81,3197.92,4113.51,4877.25,5588.96,7045.65,9073.17,10834.60,12950.42,13912.94,14456.66,14805.62,15905.30,17266.23
财政收入:河南:焦作市,百万人民币,7501.06125,17165965.4,4143.183003,0.243914861,-1.216625519,0.552346243,1534.63,14550.59,6892.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,1534.63,2267.60,3024.86,3729.10,4652.58,4918.00,5442.35,6333.84,7450.96,8513.32,9734.33,10557.46,11510.98,12417.72,13378.66,14550.59
财政收入:河南:濮阳市,百万人民币,4391.653125,7729880.113,2780.266195,0.41174784,-1.438259924,0.633079643,1026.5,9165.55,3459.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,1026.50,1255.92,1534.98,1857.49,2315.40,2530.41,2533.87,3017.25,3901.55,4809.46,6050.50,7040.00,7899.89,7216.26,8111.42,9165.55
财政收入:河南:许昌市,百万人民币,7707.4675,27469929.24,5241.176322,0.303934342,-1.460759408,0.68001277,1148.8,16613.85,6580.81,16,,,,,,,,,,,,,,,,,,,,,,,,,,1148.80,1618.08,1995.72,2554.90,3376.25,4161.13,4707.86,5744.96,7416.66,9036.69,10850.19,12522.46,13854.96,13188.96,14528.01,16613.85
财政收入:河南:漯河市,百万人民币,3995.8675,7782110.443,2789.643426,0.544611229,-1.29489615,0.698132114,772.57,8835.69,2990.98,16,,,,,,,,,,,,,,,,,,,,,,,,,,772.57,1090.42,1321.24,1613.85,1817.89,1920.43,2041.59,2613.00,3368.96,4160.96,5398.44,6286.39,6828.31,7598.73,8265.41,8835.69
财政收入:河南:三门峡市,百万人民币,5870.53375,13662675.9,3696.30571,0.191531911,-1.391494971,0.629637077,876.75,12020.17,5367.055,16,,,,,,,,,,,,,,,,,,,,,,,,,,876.75,1205.91,1663.00,2163.30,2935.86,3669.56,4150.08,4973.58,5760.53,6861.65,8178.73,9244.88,9393.98,10012.16,10818.40,12020.17
财政收入:河南:南阳市,百万人民币,9179.448125,33702286.59,5805.36705,0.33344025,-1.52938428,0.632430945,2115.8,18143.63,7808.17,16,,,,,,,,,,,,,,,,,,,,,,,,,,2115.80,2524.98,2882.88,3630.66,4482.69,5128.82,5616.66,6906.68,8709.66,10365.11,12362.54,14102.48,15708.28,16706.78,17483.52,18143.63
财政收入:河南:商丘市,百万人民币,6398.833125,21491035.09,4635.842435,0.563214569,-1.047168903,0.724482471,1176.66,15365.93,4972.36,16,,,,,,,,,,,,,,,,,,,,,,,,,,1176.66,1415.53,1655.72,2078.72,2671.14,3159.12,3536.66,4300.29,5644.43,7019.07,8583.81,10074.74,11071.27,11743.46,12884.78,15365.93
财政收入:河南:信阳市,百万人民币,5011.031875,12473625.36,3531.801998,0.47021845,-1.379544578,0.704805335,1075.25,11073.87,3921.39,16,,,,,,,,,,,,,,,,,,,,,,,,,,1075.25,1220.52,1343.70,1625.73,2036.29,2499.45,2802.10,3409.56,4433.22,5545.89,6793.32,7703.88,9103.23,9465.44,10045.06,11073.87
财政收入:河南:周口市,百万人民币,5565.98375,16529226.56,4065.615151,0.500214629,-1.304963075,0.730439637,1283.68,12933.55,4351.57,16,,,,,,,,,,,,,,,,,,,,,,,,,,1283.68,1354.32,1334.09,1523.74,1964.81,2548.93,3086.18,3830.87,4872.27,6013.47,7604.62,9095.00,10041.86,10385.82,11182.53,12933.55
财政收入:河南:驻马店市,百万人民币,5534.9525,17460929.96,4178.627761,0.670801802,-0.846065778,0.754952777,1195.39,13927.43,4177.2,16,,,,,,,,,,,,,,,,,,,,,,,,,,1195.39,1283.69,1253.21,1620.16,2126.69,2560.69,2931.91,3644.43,4709.97,5891.41,7192.82,8564.58,9597.90,10538.62,11520.34,13927.43
财政收入:湖北:武汉市,百万人民币,60757.39278,2780777635,52733.07913,0.543081975,-1.383598872,0.867928605,7023,152870,35312.91,18,,,,,,,,,,,,,,,,,,,,,,,,7823.00,7023.00,8043.68,10402.18,13881.69,17860.21,22167.55,27731.76,31607.16,39018.66,67326.00,82858.46,97852.00,110102.07,124563.38,132209.62,140292.65,152870.00
财政收入:湖北:黄石市,百万人民币,4922.641667,16743265.56,4091.853561,0.516060435,-1.458120879,0.831231245,743,11702,3006.5,18,,,,,,,,,,,,,,,,,,,,,,,,823.00,743.00,808.75,972.31,1195.63,1533.39,1971.39,2409.00,2603.00,3410.00,5384.02,6564.00,7836.00,8937.86,10058.00,10547.00,11109.20,11702.00
财政收入:湖北:十堰市,百万人民币,4900.348889,15845290.96,3980.614394,0.363132063,-1.640741648,0.812312446,808,11330,3476.67,18,,,,,,,,,,,,,,,,,,,,,,,,822.00,808.00,847.14,1016.65,1137.43,1319.98,1558.92,1989.11,2575.90,4377.44,6670.48,7692.81,7352.65,8576.68,9338.29,10026.78,10766.02,11330.00
财政收入:湖北:宜昌市,百万人民币,12157.03611,129581641.1,11383.39322,0.69241404,-1.134447156,0.93636254,1573,33910,6259.08,18,,,,,,,,,,,,,,,,,,,,,,,,1824.00,1573.00,1674.12,1912.96,2252.51,2736.85,3557.09,4427.01,5493.91,7024.25,11398.06,15325.00,20631.00,27151.77,33910.00,30003.94,24208.18,23723.00
财政收入:湖北:襄阳市,百万人民币,12210.36722,159535152.9,12630.72258,0.765945846,-1.210185842,1.034426103,1510,33910,4401.68,18,,,,,,,,,,,,,,,,,,,,,,,,1865.00,1510.00,1690.00,1785.01,1839.58,2061.59,2401.53,3005.62,3702.10,5101.26,9741.25,13985.45,19153.00,24923.43,33910.00,32070.48,31491.31,29550.00
财政收入:湖北:鄂州市,百万人民币,2395.387778,4273751.846,2067.305455,0.553881344,-1.365905478,0.86303582,320,5833.18,1434.165,18,,,,,,,,,,,,,,,,,,,,,,,,430.00,320.00,358.00,397.00,492.57,646.47,850.88,1070.00,1302.00,1566.33,2631.43,3301.61,3843.00,4274.12,4717.13,5290.51,5833.18,5792.75
财政收入:湖北:荆门市,百万人民币,3981.933333,12624536.13,3553.102325,0.758927398,-0.991620929,0.892305829,801,10576,2069.275,18,,,,,,,,,,,,,,,,,,,,,,,,803.00,801.00,858.27,928.87,933.84,1017.44,1206.38,1492.00,1813.77,2324.78,3938.65,5068.53,5984.00,6742.08,8042.69,9018.47,10125.03,10576.00
财政收入:湖北:孝感市,百万人民币,5520.274178,24422039.95,4941.866039,0.605912353,-1.442838654,0.895221121,889,13194.69,3058.565,18,,,,,,,,,,,,,,,,,,,,,,,,1075.00,889.00,952.70,1012.94,1077.76,1273.00,1663.43,2145.98,2696.74,3420.39,5157.64,6950.28,8905.00,10731.61,12277.15,12922.86,13194.69,13018.77
财政收入:湖北:荆州市,百万人民币,5000.01,19526214.1,4418.847598,0.826423213,-0.93662002,0.883767752,1205.02,13431,2498.005,18,,,,,,,,,,,,,,,,,,,,,,,,1435.00,1269.00,1328.00,1345.00,1205.02,1285.96,1524.26,1870.58,2235.69,2760.32,4432.69,5676.32,7195.00,8816.83,10394.99,11544.89,12249.63,13431.00
财政收入:湖北:黄冈市,百万人民币,5527.034444,21299160.43,4615.101346,0.733078287,-1.050120153,0.835004991,1237.28,13924,3557.41,18,,,,,,,,,,,,,,,,,,,,,,,,1554.00,1260.00,1237.28,1311.00,1313.54,1535.37,1993.26,2620.65,3217.00,3897.82,5160.71,6291.65,7998.00,9604.26,11282.44,11952.44,13333.20,13924.00
财政收入:湖北:咸宁市,百万人民币,3668.594444,10861641.43,3295.700446,0.611761038,-1.388921513,0.898355078,530,9132,2073.84,18,,,,,,,,,,,,,,,,,,,,,,,,660.00,530.00,568.00,640.00,743.00,871.00,1109.61,1433.00,1813.80,2333.88,3555.95,4582.29,5871.00,7075.59,8012.00,8334.00,8769.58,9132.00
财政收入:湖北:随州市,百万人民币,1919.367778,3118947.004,1766.054077,0.711982519,-1.283944018,0.920122812,343,4859.62,856.57,18,,,,,,,,,,,,,,,,,,,,,,,,343.00,360.00,441.10,448.16,424.60,475.59,547.42,667.89,759.84,953.30,1707.12,2299.03,2967.00,3668.13,4333.93,4554.89,4859.62,4738.00
财政收入:湖南:长沙市,百万人民币,40942.195,789607034.2,28099.94723,0.31285899,-1.423713303,0.686332211,5989.3,87970,37003.315,16,,,,,,,,,,,,,,,,,,,,,,,,,,5989.30,8065.55,10805.72,13283.45,17457.61,20556.99,24633.00,31428.36,42578.27,49064.82,53663.31,63279.92,71894.68,74369.58,80034.56,87970.00
财政收入:湖南:株洲市,百万人民币,10649.2075,56998972.97,7549.766418,0.271016005,-1.557308854,0.70895101,1681.8,22409.27,9362.86,16,,,,,,,,,,,,,,,,,,,,,,,,,,1681.80,2026.89,2456.33,2968.94,3757.74,4674.13,6658.15,7803.83,10921.89,13543.26,14864.23,16738.23,19136.48,21816.15,22409.27,18930.00
财政收入:湖南:湘潭市,百万人民币,6546.369375,20960004.08,4578.209703,0.185743621,-1.766400267,0.699350959,1007.36,12660.19,5603.39,16,,,,,,,,,,,,,,,,,,,,,,,,,,1007.36,1202.26,1499.40,1909.01,2419.61,3087.81,3870.74,4737.96,6468.82,8477.88,9789.01,10720.00,11726.48,12535.38,12660.19,12630.00
财政收入:湖南:衡阳市,百万人民币,9763.553125,50364978.7,7096.828778,0.167861375,-1.771029678,0.726869479,1493.75,20466.93,8997.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,1493.75,1729.43,2008.25,2502.71,3107.30,3793.88,4661.27,7589.27,10405.53,13550.71,15719.96,17347.85,19464.16,20466.93,16241.02,16134.83
财政收入:湖南:邵阳市,百万人民币,4856.614375,11601408.17,3406.083993,0.419792075,-1.64303777,0.701328895,1195.59,9760.65,3625.12,16,,,,,,,,,,,,,,,,,,,,,,,,,,1195.59,1286.22,1425.74,1628.38,1909.59,2212.32,2548.23,3152.78,4097.46,5366.15,6814.72,7973.28,9159.47,9760.65,9755.25,9420.00
财政收入:湖南:岳阳市,百万人民币,7734.36875,24879017.37,4987.887065,0.362085744,-1.575860134,0.644899051,2058.35,15213.75,6276.31,16,,,,,,,,,,,,,,,,,,,,,,,,,,2058.35,2224.65,2449.55,2875.93,3509.96,4293.00,4355.00,5190.00,7362.62,9047.68,10599.50,12174.04,12802.48,15204.31,15213.75,14389.08
财政收入:湖南:常德市,百万人民币,8757.326875,31970145.38,5654.214833,0.216675686,-1.636623898,0.645655337,1922.35,17440,8195.745,16,,,,,,,,,,,,,,,,,,,,,,,,,,1922.35,2151.60,2472.77,3038.90,3806.26,4430.88,5116.54,7002.05,9389.44,10673.14,12252.51,13491.52,14864.45,15717.91,16346.91,17440.00
财政收入:湖南:张家界市,百万人民币,1826.8275,1330415.224,1153.436268,0.194019343,-1.687569703,0.63138762,378.83,3465.63,1631.985,16,,,,,,,,,,,,,,,,,,,,,,,,,,378.83,614.83,483.75,608.33,787.19,952.36,1203.81,1430.58,1833.39,2261.99,2556.19,2856.52,3157.60,3221.27,3416.97,3465.63
财政收入:湖南:益阳市,百万人民币,3637.683125,6212297.815,2492.448157,0.284927302,-1.716038755,0.685174621,746.42,7105,2920.155,16,,,,,,,,,,,,,,,,,,,,,,,,,,746.42,830.34,923.77,1159.09,1526.65,1849.68,2059.65,2449.57,3390.74,4386.64,5206.09,5943.62,6858.18,6803.00,6964.49,7105.00
财政收入:湖南:郴州市,百万人民币,8881.690625,34486797.07,5872.546047,0.22695766,-1.738193197,0.661196871,2149.22,17513.37,7886.08,16,,,,,,,,,,,,,,,,,,,,,,,,,,2149.22,2316.43,2736.18,3010.06,3405.47,3843.78,4883.57,6271.07,9501.09,11967.61,14654.11,17170.00,16265.09,17513.37,13055.88,13364.12
财政收入:湖南:永州市,百万人民币,5174.083125,14939097.44,3865.112862,0.503465744,-1.348881471,0.747014064,1080.74,11810,3933.92,16,,,,,,,,,,,,,,,,,,,,,,,,,,1080.74,1106.83,1292.25,1477.40,1816.29,2209.84,2678.89,3300.62,4567.22,5946.64,7001.12,8060.85,9247.99,10255.04,10933.61,11810.00
财政收入:湖南:怀化市,百万人民币,4543.83375,9161614.132,3026.81584,0.094327871,-1.844561853,0.666137013,920.38,8970,4160.59,16,,,,,,,,,,,,,,,,,,,,,,,,,,920.38,958.71,1100.98,1353.10,1721.00,2237.00,2553.95,3567.09,4754.09,6907.29,7680.71,6619.00,7356.06,7890.86,8111.12,8970.00
财政收入:湖南:娄底市,百万人民币,3926.85,5472482.807,2339.333838,0.09041041,-1.768188277,0.595727832,913.31,7030.06,3478.585,16,,,,,,,,,,,,,,,,,,,,,,,,,,913.31,1060.23,1227.31,1532.27,1904.75,2233.29,2810.81,3000.79,3956.38,5182.62,6240.77,5891.22,5992.18,6824.71,7028.90,7030.06
财政收入:广东:广州市,百万人民币,86331.75941,2241583782,47345.36706,0.123630466,-1.401786343,0.548411933,20055,163230.26,87264.7,17,,,,,,,,,,,,,,,,,,,,,,,20055.00,,,27477.07,30286.92,37126.33,42708.31,52378.62,62183.55,70265.27,87264.70,97948.00,110239.60,114180.44,124310.35,134947.42,139364.42,153673.65,163230.26
财政收入:广东:韶关市,百万人民币,5057.99,8775498.23,2962.346744,0.113092356,-1.546185289,0.585676671,863,9470.3,4781.33,17,,,,,,,,,,,,,,,,,,,,,,,863.00,,,1428.25,1641.27,1993.34,2279.51,3004.12,3637.73,4070.94,4781.33,5390.97,6147.65,7178.04,8200.82,8522.92,8504.92,8870.72,9470.30
财政收入:广东:深圳市,百万人民币,65255.74975,10046678196,100233.1193,1.813153899,2.290750929,1.536004408,17.21,353840.51,17429.845,40,,17.21,30.43,87.87,91.63,156.05,294.35,628.94,741.60,875.21,1465.21,2286.68,2170.37,2732.91,4295.99,6725.07,7439.92,8801.74,13174.90,14205.57,16438.84,18420.85,22191.84,26249.44,26592.87,29083.70,32146.80,41237.87,50088.27,65805.54,80036.03,88081.68,110681.66,133957.28,148208.03,173126.18,208273.26,272685.43,313649.23,333213.03,353840.51
财政收入:广东:珠海市,百万人民币,14879.48647,109247726.1,10452.16371,0.534393697,-1.118000365,0.702454599,2423,33147.01,12452.8,17,,,,,,,,,,,,,,,,,,,,,,,2423.00,,,3482.15,3445.59,4897.06,6026.50,7582.42,9231.68,10141.06,12452.80,14340.80,16259.97,19419.81,22430.64,26996.34,29236.83,31437.61,33147.01
财政收入:广东:汕头市,百万人民币,7774.073529,21415507.49,4627.689217,0.174509395,-1.595069166,0.595272118,1894,15007.14,7264.52,17,,,,,,,,,,,,,,,,,,,,,,,1894.00,,,2077.85,2465.34,2944.34,3492.57,4248.83,5122.28,5853.53,7264.52,8558.34,9634.47,11210.63,12397.47,13126.14,13709.34,15007.14,13152.46
财政收入:广东:佛山市,百万人民币,33608.43706,442240665.3,21029.5189,0.393898579,-1.152890954,0.625721418,5953,70313.51,30605.45,17,,,,,,,,,,,,,,,,,,,,,,,5953.00,,,9543.59,9528.64,13084.80,15706.22,19454.30,22799.40,25469.88,30605.45,34173.26,38408.03,43821.28,50119.22,55754.69,60450.01,66158.15,70313.51
财政收入:广东:江门市,百万人民币,11504.73235,54900641.27,7409.496695,0.349206625,-1.289085013,0.644039033,2124,24392.95,10428.78,17,,,,,,,,,,,,,,,,,,,,,,,2124.00,,,2937.45,2894.08,4163.00,5065.55,6243.01,7468.42,8363.23,10428.78,11917.38,13503.41,15803.25,17720.18,19901.04,20417.44,22237.28,24392.95
财政收入:广东:湛江市,百万人民币,7001.967647,18474650.08,4298.214755,0.087008608,-1.6497259,0.613858128,1244,13499.58,6622.95,17,,,,,,,,,,,,,,,,,,,,,,,1244.00,,,1682.26,1975.80,2401.11,3038.78,3824.06,4570.92,5265.12,6622.95,8002.96,9208.66,10592.18,11441.68,12185.71,11293.75,13499.58,12183.93
财政收入:广东:茂名市,百万人民币,6390.367059,19351414.63,4399.024282,0.388782611,-1.396034172,0.688383663,908,13613.61,5194.55,17,,,,,,,,,,,,,,,,,,,,,,,908.00,,,1425.47,1776.31,2125.75,2572.40,3166.25,3637.01,4170.44,5194.55,6611.82,7812.29,9035.69,10037.41,11392.48,12142.59,13014.17,13613.61
财政收入:广东:肇庆市,百万人民币,6985.625294,20679606.15,4547.483497,0.128306022,-1.415025085,0.650977301,1097,14336.04,7680.42,17,,,,,,,,,,,,,,,,,,,,,,,1097.00,,,1444.25,1579.79,2044.13,2498.17,3274.30,4355.71,5591.51,7680.42,9223.11,10380.88,12077.36,13913.26,14336.04,9170.02,9485.45,10604.23
财政收入:广东:惠州市,百万人民币,17132.99471,196833484.1,14029.73571,0.466208263,-1.4241877,0.818872354,1294,39300.58,13122.7,17,,,,,,,,,,,,,,,,,,,,,,,1294.00,,,2412.38,2542.08,3472.18,4444.73,6206.02,7806.57,10156.51,13122.70,16283.15,20087.62,25017.21,30074.53,34001.83,36130.44,38908.38,39300.58
财政收入:广东:梅州市,百万人民币,4393.91,14041474.49,3747.195549,0.706219307,-1.10521673,0.852815727,706.74,10855.12,2893.95,20,,,,,,,,,,,,,,,,,,,,,,706.74,718.00,828.38,856.52,946.29,1249.12,1517.72,1825.19,2297.05,2710.91,3076.99,3895.42,4688.58,5627.01,6937.23,8527.53,10359.10,10546.43,10855.12,9708.87
财政收入:广东:汕尾市,百万人民币,2439.07,2490906.68,1578.26065,0.150386886,-1.428875261,0.647074766,416,4922.61,2623.09,17,,,,,,,,,,,,,,,,,,,,,,,416.00,,,505.32,537.34,709.48,927.06,1215.84,1575.08,1971.36,2623.09,3271.27,4109.19,4815.46,4922.61,2882.75,3077.78,3677.31,4227.25
财政收入:广东:河源市,百万人民币,3380.235294,6980486.671,2642.061065,0.456302123,-1.425958429,0.78162046,255,7695.18,2509.06,17,,,,,,,,,,,,,,,,,,,,,,,255.00,,,435.44,586.29,851.77,1253.67,1515.58,1761.10,2018.39,2509.06,3136.68,3764.03,4878.72,6046.71,6748.01,6889.34,7119.03,7695.18
财政收入:广东:阳江市,百万人民币,3269.215294,5734995.315,2394.785025,0.242237011,-1.746701752,0.732525946,389,6793.07,2677.1,17,,,,,,,,,,,,,,,,,,,,,,,389.00,,,658.78,599.02,869.55,1040.48,1296.83,1635.72,2015.53,2677.10,3495.42,4312.21,5371.70,6297.08,6793.07,5798.61,6064.91,6261.65
财政收入:广东:清远市,百万人民币,6049.204706,16463925.49,4057.576307,-0.177750735,-1.788161927,0.670761944,453,11189.73,7278.75,17,,,,,,,,,,,,,,,,,,,,,,,453.00,,,796.50,929.06,1325.39,1960.60,2788.95,3737.74,5003.55,7278.75,8430.52,8687.22,9281.76,10264.61,10838.05,9563.88,10307.17,11189.73
财政收入:广东:东莞市,百万人民币,27667.34105,409586809.6,20238.25115,0.457176206,-1.12215915,0.731485223,3022,64991.12,23115.56,19,,,,,,,,,,,,,,,,,,,,,,,3022.00,4501.63,5529.33,6744.61,8263.89,10396.80,12894.45,18644.68,20922.48,23115.56,27784.22,31307.03,35632.45,40928.97,45521.19,51796.82,54475.43,59206.82,64991.12
财政收入:广东:中山市,百万人民币,15988.45353,112513185.1,10607.22325,0.210045779,-1.528926274,0.663430221,1746,31522.64,13937.43,17,,,,,,,,,,,,,,,,,,,,,,,1746.00,,,3663.27,3454.13,5425.84,6644.77,8611.71,10012.32,11044.09,13937.43,18321.61,20188.59,22541.50,25159.73,28750.55,29503.82,31275.71,31522.64
财政收入:广东:潮州市,百万人民币,2512.828824,2577298.145,1605.396569,0.149590233,-1.641819438,0.638880195,460,4737.06,2325.14,17,,,,,,,,,,,,,,,,,,,,,,,460.00,,,589.59,525.14,864.42,1064.76,1349.87,1601.78,1824.57,2325.14,2727.15,3193.37,3708.87,4126.47,4720.09,4440.22,4459.59,4737.06
财政收入:广东:揭阳市,百万人民币,4166.164706,7798490.112,2792.577682,0.141332324,-1.829372736,0.670299395,924,7933.94,3865.06,17,,,,,,,,,,,,,,,,,,,,,,,924.00,,,1058.19,963.64,1119.29,1375.90,1732.37,2237.09,2886.56,3865.06,4634.99,5669.50,6669.41,7368.79,7740.45,7364.36,7281.26,7933.94
财政收入:广东:云浮市,百万人民币,2981.511765,4427223.554,2104.09685,0.294223681,-1.672822739,0.705714757,365,5870.05,2354.24,17,,,,,,,,,,,,,,,,,,,,,,,365.00,,,592.62,718.49,933.11,1139.00,1397.00,1663.31,1877.83,2354.24,2979.82,3676.13,4576.30,5287.09,5870.05,5742.25,5749.10,5764.36
财政收入:广西:南宁市,百万人民币,7533.1,121402266.2,11018.26966,1.489226222,0.776195383,1.46264747,197.9,35896,1315.83,41,201.02,197.90,236.82,245.35,260.17,262.58,274.46,354.47,388.73,440.78,510.71,573.52,639.30,700.51,734.59,1064.65,734.92,912.36,1035.83,1167.78,1315.83,1497.00,2164.84,2918.60,3128.05,3624.35,4325.26,4519.54,5661.91,7015.10,9288.12,12046.28,15609.58,18629.28,22971.83,25624.69,27485.17,29705.01,31279.21,33215.00,35896.00
财政收入:广西:柳州市,百万人民币,4140.810488,30145325.48,5490.475888,1.571101058,1.265732231,1.325942326,279,19378,1310,41,279.00,299.00,296.00,324.00,341.00,292.00,334.00,437.00,491.00,576.00,643.00,723.00,755.00,769.00,840.00,1310.00,692.00,826.00,778.00,932.00,1305.00,1393.00,1686.00,2176.00,2324.00,2713.08,2981.14,2817.98,3485.38,4036.93,5243.57,6141.48,7462.88,8945.46,11355.03,12512.11,13315.69,14667.65,15916.42,17979.43,19378.00
财政收入:广西:桂林市,百万人民币,6613.998743,25693397.66,5068.86552,0.574295003,-1.375493754,0.766384409,1476,15085,4518.84,21,,,,,,,,,,,,,,,,,,,,,1476.00,1521.00,1589.00,2052.00,2019.00,2213.16,2551.94,2478.38,2969.53,3631.67,4518.84,5514.98,6707.84,8074.85,10600.87,11100.15,12388.61,13452.58,14532.60,14415.97,15085.00
财政收入:广西:梧州市,百万人民币,2117.153171,9745375.74,3121.758437,1.591441067,0.912165805,1.474507598,82.33,9561,592.02,41,90.37,82.33,94.62,104.31,106.00,104.67,114.09,141.75,154.38,189.22,234.28,261.73,270.78,343.66,374.81,516.20,328.76,412.89,465.37,531.32,592.02,616.29,687.13,811.62,819.57,916.82,1193.83,1199.46,1370.88,1527.02,1812.95,2349.22,3242.14,4490.88,7383.03,8574.00,9045.45,9237.27,9561.00,8455.16,7996.00
财政收入:广西:北海市,百万人民币,1459.710732,3722950.753,1929.494948,1.581501723,1.487337036,1.321833775,31.59,7164,654,41,31.59,33.14,36.64,39.71,45.26,46.00,52.00,78.00,86.00,93.00,110.00,132.00,159.00,195.00,285.00,568.00,533.00,587.00,495.00,546.00,663.00,756.00,654.00,685.00,719.00,826.67,971.71,1086.25,1404.41,1902.45,1434.47,1722.27,2750.93,3706.08,4113.11,4211.00,4724.52,4761.36,5006.96,6433.61,7164.00
