"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
存款:安徽:芜湖市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,28401.10,32878.68,38239.62,46231.19,57407.57,71042.42,95339.74,121317.42,167717.88,187626.18,217596.38,232295.00,254868.08,291578.44,325456.82,374369.00
存款:安徽:蚌埠市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25800.51,30045.16,33139.00,36780.95,41022.34,48240.06,57777.65,70765.00,83960.34,97954.93,126254.59,143345.60,162364.96,186906.14,196461.93,
存款:安徽:淮南市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19904.92,25237.08,33345.00,40081.54,45078.80,55915.37,71906.34,86348.55,96129.12,111579.29,121249.30,122874.46,163045.92,177757.41,205756.98,
存款:安徽:马鞍山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,20001.11,25693.16,30829.25,36755.06,43744.48,53606.66,67868.30,80043.30,109408.57,126918.86,144785.20,147562.15,160971.41,187196.52,199404.96,223705.00
存款:安徽:淮北市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,15116.95,18322.02,24393.36,27777.30,30079.73,37538.93,47109.64,56855.63,69685.00,78870.40,86497.05,94816.79,103580.00,132180.00,140060.00,147540.00
存款:安徽:铜陵市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,10510.28,13381.67,16108.03,19027.72,23053.42,26187.10,34765.29,40651.24,48566.32,57081.42,64440.52,67629.05,80990.00,121930.00,138770.00,144954.94
存款:安徽:安庆市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29501.05,34892.10,42276.78,50319.42,60786.91,75280.33,94162.04,115241.41,140863.09,170337.02,198057.42,223762.59,225347.52,265043.48,294205.62,315880.00
存款:安徽:黄山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,13471.58,16091.00,18570.79,21417.76,24978.13,29994.28,37298.09,47237.97,56154.77,66049.65,74307.68,82147.77,91630.00,102580.00,115560.00,126674.00
存款:安徽:滁州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,18462.48,22469.14,27675.80,32502.14,37635.62,47017.71,61448.31,77643.92,91790.82,111702.44,128703.49,142182.78,167270.07,198997.64,229005.93,
存款:安徽:阜阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,30091.39,35974.01,42263.91,51654.01,60590.02,72699.15,86049.56,104266.37,125241.64,149140.70,175094.54,204752.73,245559.56,300304.63,350499.34,
存款:安徽:宿州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,18833.29,22789.98,27663.31,32801.19,37832.88,47520.29,56556.83,69997.70,85423.57,101792.77,115845.94,131459.08,149030.30,175145.71,201435.67,
存款:安徽:巢湖市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19100.85,22968.59,27286.98,32079.75,39135.49,47228.69,57493.71,69068.64,,,,,,,,
存款:安徽:六安市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,20334.96,24363.78,29246.34,35945.79,42590.27,53969.59,68049.25,84348.42,105489.77,127802.47,152523.30,171557.58,173537.86,207642.42,243221.53,
存款:安徽:亳州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,14561.85,17064.13,19598.00,23319.90,28344.23,34591.01,43377.57,54474.96,67529.28,81349.13,92804.38,106079.77,126010.00,158990.00,184340.00,211270.00
存款:安徽:池州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,8713.10,10736.19,12934.96,15853.32,18273.62,22640.32,28751.52,36566.93,43659.97,51894.63,59728.03,66857.70,74966.34,87705.28,95186.81,
存款:安徽:宣城市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,15350.13,17807.78,20475.31,24256.00,28790.66,34434.45,43684.18,57710.97,67962.01,81280.72,91950.54,103669.04,120469.05,146820.00,167540.00,
存款:福建:福州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,169640.51,201887.30,237575.42,289624.92,329010.90,385875.90,477799.31,596106.64,677143.50,770728.00,895013.89,973102.94,1127096.06,1243230.81,1359768.00,1420430.00
存款:福建:厦门市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,100117.44,114022.53,148955.58,183069.65,246696.76,272713.67,348044.10,444060.23,469640.33,515140.00,638063.15,706461.24,887625.27,978826.84,1059832.00,1099500.00
存款:福建:莆田市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,22476.71,25358.54,29687.14,37783.64,39881.37,47416.86,59496.36,71626.65,85933.47,106299.00,129477.98,145018.13,160819.52,171239.36,180361.00,180312.00
存款:福建:三明市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25192.38,28370.94,34556.00,40219.72,42550.97,51861.00,63723.82,76284.72,90328.53,106865.00,119747.12,121367.12,134318.34,150044.52,167437.00,174803.00
存款:福建:泉州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,102321.48,116334.00,137484.77,164603.79,185128.26,220010.96,271837.42,327623.43,377966.92,451073.00,562612.90,606272.52,661231.00,679040.51,689180.00,694784.00
存款:福建:漳州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,31517.15,38563.44,43028.58,51921.36,60315.09,71961.86,86812.23,110734.45,124783.41,150053.00,185104.42,209661.19,234621.00,255825.58,285490.00,298055.00
存款:福建:南平市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25394.99,28161.97,34888.64,40646.19,42330.26,50221.00,62671.30,75690.83,86493.18,99161.00,114459.81,125747.00,141705.85,157789.66,176341.00,185830.00
存款:福建:龙岩市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,22437.95,25946.67,29588.39,35170.59,41069.59,52375.18,68674.80,78476.14,90842.57,109396.00,109395.92,137662.47,156284.88,175376.03,184444.94,
存款:福建:宁德市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,16491.18,19089.24,21884.88,27120.68,29203.44,36461.18,48562.64,66967.61,78691.01,91053.76,103281.18,107716.40,120604.27,134745.10,150464.27,
存款:江西:南昌市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,113134.54,131612.69,155664.74,179105.93,203733.75,247116.09,326390.25,416766.76,512013.00,576899.00,670180.00,743666.00,853434.00,962756.00,1013734.00,1073308.00
存款:江西:景德镇市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,13692.88,15724.87,17502.14,20433.86,21853.74,24965.99,31906.52,40092.10,49801.00,58390.00,67248.00,74424.51,81092.00,94047.00,107590.00,114065.00
存款:江西:萍乡市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,10490.66,12450.25,14751.68,17132.56,18570.28,23645.87,30252.88,39013.89,46939.00,54291.00,62342.00,68392.00,79302.00,94580.00,112137.00,
存款:江西:九江市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,26055.15,30025.94,36945.14,43757.03,50601.79,63047.00,85906.00,108642.19,125513.00,150247.00,176485.00,187857.88,217334.00,259381.00,291618.00,337137.00
存款:江西:新余市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,11563.74,13686.35,15905.00,18882.00,22260.00,29825.27,37074.47,43049.71,52772.00,60354.00,65811.00,70308.00,90601.00,96886.00,108272.00,115959.00
存款:江西:鹰潭市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,8939.15,10200.63,12369.84,14422.67,17788.36,22696.00,25973.78,36470.39,36877.00,45852.00,51673.00,57812.00,59772.00,68478.00,72733.00,
存款:江西:赣州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,37030.40,43065.33,51716.93,63403.99,72603.55,88219.40,112308.65,150607.78,185550.00,227756.00,263092.00,288176.59,335591.00,414184.00,475357.00,506257.00
存款:江西:吉安市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,24302.91,29262.30,34617.67,40836.87,45041.78,55130.84,69785.37,85872.23,105173.00,128919.00,149734.00,170183.00,194429.00,229980.00,262851.00,
存款:江西:宜春市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,26568.99,31994.60,37857.62,44556.66,50522.43,62314.96,78080.87,98912.49,121101.00,145399.00,171389.00,191958.00,214737.00,243874.00,288823.00,
存款:江西:抚州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,21373.40,24128.69,28459.53,32089.75,35887.07,43209.27,53912.71,65606.85,78891.00,93959.00,111346.00,126702.00,143614.00,164564.00,190490.00,
存款:江西:上饶市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,27942.35,32303.48,38070.51,45376.73,51590.00,61077.04,78181.94,97644.90,116869.00,140866.00,166920.00,190636.49,225840.00,271624.00,321101.00,357356.00
存款:山东:济南市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,244948.35,313728.81,364455.00,402462.00,406243.30,503681.19,636329.94,751044.12,836406.00,989383.00,1092581.91,1201020.00,1417470.00,1553745.00,1656059.79,1706014.00
存款:山东:青岛市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,189208.68,224625.92,269753.52,324535.83,389158.82,473538.03,630197.64,765920.65,890127.00,981833.00,1141825.94,1190800.00,1315570.00,1467378.00,1512898.79,1612129.00
存款:山东:淄博市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,82425.57,94389.00,110496.00,122877.32,139484.15,167790.19,214521.66,247056.25,274488.00,319143.00,348462.07,359425.52,377130.00,420443.00,443575.29,461725.00
存款:山东:枣庄市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25783.29,30772.39,36378.94,41969.99,48462.94,61794.12,80769.73,87704.16,97424.00,114672.00,124985.48,132611.00,143681.00,167273.00,182833.17,203772.00
存款:山东:东营市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,49578.02,55533.02,65163.35,76158.88,84443.24,103277.60,130097.27,156709.64,192774.00,239402.00,284800.36,330008.51,368347.47,398666.00,382240.80,372144.00
存款:山东:烟台市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,128658.01,141467.85,163614.02,186665.99,214889.98,257004.76,334226.26,402133.94,446785.00,528602.00,602053.27,641797.00,702982.00,758007.00,793264.18,821187.00
存款:山东:潍坊市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,90227.78,105536.33,124926.10,142554.79,163744.36,206004.81,273895.71,328125.34,374888.20,443780.81,505977.29,553620.34,621760.00,709481.00,761310.68,792983.00
存款:山东:济宁市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,66275.28,77888.99,93956.84,106567.51,116947.55,146029.26,189560.20,225631.33,263490.00,314615.00,356107.18,369159.00,409749.00,455810.00,496630.00,544470.00
存款:山东:泰安市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,44356.39,53683.31,63631.20,74997.80,81228.85,97413.62,121317.25,139953.37,157171.00,194798.00,227836.70,245839.47,,307571.00,334657.42,367227.00
存款:山东:威海市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,52868.52,60408.17,73111.98,82362.87,97321.09,112636.57,138079.95,160330.05,181019.00,206063.00,237925.38,263233.00,279042.00,311283.00,338016.24,368203.00
存款:山东:日照市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,22722.94,27084.00,34412.49,41454.71,52788.44,61214.80,81198.49,100316.44,116107.00,146914.00,178006.99,192149.00,187235.00,208062.00,230523.18,253060.00
存款:山东:莱芜市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,15006.60,18866.98,25017.52,31860.34,36511.96,44480.51,56243.96,58578.34,60685.00,72540.00,76097.07,78824.68,82935.00,90770.00,94820.00,102820.00
存款:山东:临沂市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,66802.06,78409.65,95544.18,101461.80,115613.10,140783.17,176233.51,211509.18,250710.00,304348.00,371077.40,422530.59,473420.00,530520.00,584630.00,634760.00
存款:山东:德州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,43155.27,48791.00,58467.00,65010.93,72510.93,88443.16,108841.35,128690.67,142633.00,164685.00,193343.17,215278.31,247031.00,286863.00,311825.99,345599.00
存款:山东:聊城市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,41048.66,45904.26,52793.96,58235.54,67046.75,83663.95,107427.73,123242.56,136662.00,168769.00,194582.77,227042.75,257193.00,303248.00,327244.57,350581.00
存款:山东:滨州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29298.05,34180.14,39994.00,47608.11,56283.44,69669.18,91827.07,106101.25,130969.00,169766.00,192684.34,210595.00,237527.00,269792.00,276318.34,287512.00
存款:山东:菏泽市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,32673.84,36439.15,42594.57,49649.19,57000.19,70417.02,89831.33,108977.11,130968.93,160777.00,191886.15,222827.61,255047.00,302471.00,349480.15,390530.00
存款:河南:郑州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,243410.09,272480.00,311606.51,355994.01,393817.58,491639.43,654026.63,799085.32,896486.57,1044829.06,1245045.72,1395558.91,1693627.00,1900074.00,2034955.92,
存款:河南:开封市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25638.29,28386.08,31512.10,35900.75,38442.51,44268.54,56850.36,68188.75,78757.93,96123.07,113426.95,127408.08,,,,
存款:河南:洛阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,68680.95,78638.36,91482.87,105890.52,116488.97,139524.65,171974.38,209609.20,242859.56,290246.54,335027.33,374458.12,,,,
存款:河南:平顶山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,31472.73,39019.68,49343.11,59834.61,64713.89,81276.35,97480.05,113785.16,122619.49,145738.00,166623.16,181532.19,201050.00,,,
存款:河南:安阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,43473.82,46230.87,52318.92,57472.46,62783.53,74807.47,88439.28,99550.71,116242.60,135297.57,158452.15,179394.28,,,,
存款:河南:鹤壁市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9506.47,10880.00,12946.23,15790.10,17149.73,20611.66,26310.25,28540.18,30544.53,36665.30,42600.40,47769.67,,,,
存款:河南:新乡市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,43863.47,48947.15,56066.60,61917.12,65258.74,79597.11,94098.11,114415.96,130626.88,147661.23,172301.92,189846.93,,,,
存款:河南:焦作市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,31614.34,35063.92,40265.34,44877.79,46269.37,55469.08,66208.67,74856.50,89012.40,101263.91,115151.55,126432.17,144396.00,162962.00,,183280.00
存款:河南:濮阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25106.09,27695.03,31446.61,34140.26,36402.91,44342.15,52564.73,58891.97,68094.81,83689.42,97148.57,105913.86,116531.00,133817.00,151219.00,168566.00
存款:河南:许昌市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,26239.69,30337.38,35474.34,40474.66,43934.16,52308.46,65947.22,83038.18,97194.37,118822.15,141051.68,153326.52,173310.00,,,
存款:河南:漯河市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,17897.65,19221.39,21110.03,23135.30,23737.37,28831.37,35372.19,42184.97,47178.17,59375.15,68736.66,75364.13,,,,
存款:河南:三门峡市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19648.32,22545.07,27191.21,31764.05,35456.55,42185.54,50891.27,62551.53,68770.21,82506.95,93603.11,94232.50,103759.00,114323.00,124080.00,127663.00
存款:河南:南阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,46792.23,52485.71,62598.83,72015.73,78697.51,92117.72,114590.32,147121.93,177481.21,210467.50,247672.61,275677.50,,,,
存款:河南:商丘市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25397.10,30506.40,37365.08,45383.18,50283.80,60273.11,72248.35,90115.87,109823.79,135382.95,155911.26,175987.79,,,,
存款:河南:信阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,32609.57,38589.74,44540.09,52661.80,60896.72,72817.21,88891.40,105476.40,126665.60,153644.40,183005.95,209495.76,197807.00,269233.00,304501.00,319914.00
存款:河南:周口市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,33828.67,36989.05,42227.07,50678.36,55840.30,66365.28,79249.73,93078.87,112604.00,140349.91,165562.35,188121.84,210990.00,,,
存款:河南:驻马店市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29448.98,34014.24,40046.85,48009.31,55138.46,65734.17,79327.19,96931.96,117231.47,142950.03,171003.23,198289.06,,,,
存款:湖北:武汉市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,303206.55,351378.81,408494.65,468431.60,547138.17,649793.00,876162.26,1093076.63,1151958.24,1313159.00,1491569.00,1626870.73,1939316.00,2219621.00,2449941.00,2633162.00
存款:湖北:黄石市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,18481.34,23175.59,27835.30,32175.37,37599.91,47646.00,57617.00,70442.78,84070.70,101244.00,113890.00,124552.35,,,,
存款:湖北:十堰市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29972.72,35769.45,40603.13,51052.46,47478.37,57829.33,69464.98,85764.45,101648.20,121984.00,143658.07,165180.30,183180.00,203480.00,226630.00,
存款:湖北:宜昌市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,46083.72,51729.22,59497.66,71320.18,88327.45,100240.23,160207.08,191741.15,178311.00,201464.00,237061.27,258324.55,282249.00,313003.00,349413.00,369073.00
存款:湖北:襄阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,41849.00,48770.40,55976.23,64540.11,68361.56,83167.03,105183.30,129411.56,152361.50,181512.00,218196.01,248395.96,270520.00,307310.00,334810.00,351600.00
存款:湖北:鄂州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9008.24,9517.85,9836.36,11451.00,12728.00,15797.75,20251.00,25664.21,29700.00,34742.00,39782.00,44920.00,50978.00,58154.00,65626.00,72629.00
存款:湖北:荆门市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19897.45,22669.72,26705.03,30607.05,34445.79,42547.56,52550.80,68519.89,78636.24,93494.00,112125.47,125700.56,,,,
存款:湖北:孝感市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,23466.02,27594.40,31548.17,36742.04,40344.35,50307.34,62716.80,78518.81,96565.07,118013.00,140411.95,161354.50,185660.00,207273.00,228793.81,
存款:湖北:荆州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29078.34,38297.21,43936.80,52131.79,58679.00,72998.40,86521.02,103613.57,132263.00,146300.00,173891.23,196701.98,223407.00,254358.00,289770.00,
存款:湖北:黄冈市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25913.00,31075.04,36845.00,44451.00,50336.00,63750.00,77345.00,96016.23,116823.71,143443.00,171943.02,199404.88,232387.00,268142.00,,
存款:湖北:咸宁市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,12025.82,14112.61,15658.16,19119.06,22526.17,27893.44,34719.36,43252.34,53748.29,64485.00,77661.51,89172.40,103544.00,,,
存款:湖北:随州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,12264.96,14034.46,16358.43,20088.35,24806.83,27925.60,35039.49,43059.19,51280.88,60692.00,72441.39,84586.70,96800.00,110200.00,123600.00,
存款:湖南:长沙市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,159870.00,196023.14,232232.50,275680.00,326746.24,386921.17,532583.75,642795.41,729423.61,880066.42,1014876.50,1111948.66,1406566.00,1548877.35,1714183.06,1863360.00
存款:湖南:株洲市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,33911.37,40406.44,47241.40,55244.24,63802.27,75543.64,94496.78,112908.83,135111.78,158884.29,184438.75,205756.57,241190.00,282787.37,306882.77,
存款:湖南:湘潭市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,27381.98,27602.56,32524.00,38628.00,39785.64,56789.93,69088.45,78097.73,92359.06,112772.00,139680.00,153934.95,177770.00,202747.60,224588.51,
存款:湖南:衡阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,40736.00,48690.54,56721.65,67873.54,78578.60,92881.37,110864.29,129989.71,152216.08,179389.00,210452.79,239078.42,278726.91,328343.51,358978.16,370676.00
存款:湖南:邵阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29573.99,33995.22,40998.33,48214.09,55889.58,66763.99,80303.56,94811.00,111309.79,152383.00,151068.00,173615.74,205846.00,244712.41,279504.78,285374.00
存款:湖南:岳阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,26922.60,29475.02,34095.93,39726.82,46622.16,55559.31,68284.34,78497.01,94650.33,113609.00,131272.00,147135.24,173347.00,217835.20,260016.65,272266.83
存款:湖南:常德市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,30505.43,32945.00,40212.98,45680.40,50926.69,61419.47,79212.64,96308.00,115222.75,139220.00,163130.00,192365.77,224700.00,271380.52,302034.08,308550.00
存款:湖南:张家界市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,6335.99,7281.15,8547.24,10601.32,12925.93,14908.84,19295.75,23478.41,29194.45,34377.09,40069.00,46189.87,54049.89,68311.57,79576.43,
存款:湖南:益阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,18923.81,21104.55,24674.67,29607.65,34125.11,42502.09,51557.08,60767.67,72773.40,87367.00,102323.00,115648.17,136373.00,166031.18,183664.14,193076.00
存款:湖南:郴州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,26837.96,32358.77,39307.69,46509.85,55710.08,67698.71,79546.94,94453.32,111737.59,131437.34,151730.34,168036.71,193901.60,240496.13,249142.09,241850.00
存款:湖南:永州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,22843.54,26200.81,30931.64,37369.73,43442.26,52689.98,63050.79,72592.11,84142.27,100023.00,117256.00,133656.80,157310.00,191484.09,224861.85,226830.00
存款:湖南:怀化市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,21331.32,24557.55,27959.96,33034.06,39818.50,46053.63,56010.87,67535.48,81231.70,97972.59,112838.00,124634.27,147837.65,175658.61,194633.96,
存款:湖南:娄底市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,20916.27,24211.00,28218.22,32802.60,33213.65,48696.20,58417.09,65575.12,77208.70,90703.26,102025.00,112610.46,128475.04,150842.38,171618.79,190958.23
存款:广东:广州市,百万人民币,,,,,,,,,,,,,,,,,,,,,616170.00,,,867672.09,961357.21,1173409.53,1335096.58,1478345.00,1692946.00,2094419.00,2395395.85,2646079.78,3018657.45,3383819.62,3546928.62,4284367.00,4753020.00,5136903.49,5478809.00
