"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
存款:广东:韶关市,百万人民币,,,,,,,,,,,,,,,,,,,,,26237.00,,,35609.06,38770.57,46835.40,53976.15,58522.00,67442.00,79440.00,90774.50,100535.35,111781.25,125575.89,139420.06,153290.00,166969.95,175498.17,184975.62
存款:广东:深圳市,百万人民币,,,,,,,,,,,36065.00,51795.00,80151.00,97706.00,141381.00,170594.00,214428.00,245525.00,288183.00,323566.00,397412.00,498820.00,594129.00,707194.00,813621.00,948671.00,1061601.00,1272968.00,1426094.00,1835747.00,2193789.00,2509578.00,2966240.00,3394315.00,4996999.00,5777890.00,6440781.00,6966831.01,7255036.00
存款:广东:珠海市,百万人民币,,,,,,,,,,,,,,,,,,,,,51903.00,,,67320.74,76970.77,101407.82,114871.38,138807.00,157536.38,210520.44,274869.65,298001.22,344970.15,412158.37,457067.00,538373.00,612426.00,692873.55,754291.00
存款:广东:汕头市,百万人民币,,,,,,,,,,,,,,,,,,,,,59713.00,,,74595.91,83843.18,99564.30,110945.47,116164.00,136585.62,162306.13,187302.80,198964.80,228535.67,253016.11,266446.09,285720.00,312519.70,334159.87,357940.00
存款:广东:佛山市,百万人民币,,,,,,,,,,,,,,,,,,,,,210792.00,,,294955.00,325885.00,390693.38,446380.67,488543.00,571395.23,721114.12,846232.93,911684.02,1016755.03,1138712.68,1127563.17,1186767.00,1328161.00,1404239.77,1537281.00
存款:广东:江门市,百万人民币,,,,,,,,,,,,,,,,,,,,,80104.00,,,91701.30,102993.75,127967.41,139108.03,146613.00,168339.00,199514.00,228575.11,255965.58,290549.97,333526.76,346122.16,376681.00,,,
存款:广东:湛江市,百万人民币,,,,,,,,,,,,,,,,,,,,,40680.00,,,54004.92,60522.89,71697.24,84355.37,92690.00,107580.00,131610.00,156518.54,172819.36,190234.99,217339.46,242175.83,268460.81,284729.09,306114.83,334359.00
存款:广东:茂名市,百万人民币,,,,,,,,,,,,,,,,,,,,,33084.00,,,44566.57,47991.76,52489.89,58244.86,62436.00,73644.00,85578.00,102866.96,118871.97,133242.23,157163.08,176629.03,197475.00,,,
存款:广东:肇庆市,百万人民币,,,,,,,,,,,,,,,,,,,,,28018.00,,,37436.93,41436.20,49323.10,56307.16,62942.00,72874.79,92063.00,107253.84,121067.15,135559.00,159443.11,167925.76,178500.75,,,
存款:广东:惠州市,百万人民币,,,,,,,,,,,,,,,,,,,,,39242.00,,,57190.88,66513.42,82395.66,98641.49,116947.00,133694.00,177895.00,209013.79,240104.61,269697.38,313879.25,314954.71,383610.00,497448.00,548555.43,617135.00
存款:广东:梅州市,百万人民币,,,,,,,,,,,,,,,,,,,,,21835.00,,,34894.00,38726.13,43870.97,48001.41,48995.00,60171.00,70569.00,83963.09,94624.06,106383.02,124520.57,141188.46,156528.00,181919.00,201478.50,213287.00
存款:广东:汕尾市,百万人民币,,,,,,,,,,,,,,,,,,,,,7779.00,,,10075.19,12488.51,14444.61,16797.78,19272.00,23351.00,27978.10,33269.99,37329.80,42270.83,48735.45,54574.10,63103.00,74428.00,83684.31,94046.00
存款:广东:河源市,百万人民币,,,,,,,,,,,,,,,,,,,,,9066.00,,,15391.95,17589.19,20594.20,23752.09,28655.00,33475.82,40958.68,50001.91,56136.49,63858.35,75423.92,87592.15,98890.00,113926.00,124800.09,137619.00
存款:广东:阳江市,百万人民币,,,,,,,,,,,,,,,,,,,,,14200.00,,,19267.59,21831.14,24875.45,28412.92,31832.00,39433.00,47787.00,57531.60,64928.78,72934.63,81684.28,90710.70,101133.68,,,
存款:广东:清远市,百万人民币,,,,,,,,,,,,,,,,,,,,,21276.00,,,29360.22,32968.31,39396.07,47872.99,56568.00,65126.00,83257.00,99535.70,111731.18,121533.91,140134.86,152266.48,169980.00,192613.26,216288.81,233634.28
存款:广东:东莞市,百万人民币,,,,,,,,,,,,,,,,,,,,,132097.00,,,212677.75,246286.93,303676.89,346436.31,384338.00,446025.00,509492.00,607786.67,675665.98,769124.23,887491.14,932328.01,996880.00,1154510.00,1249796.78,1415722.00
存款:广东:中山市,百万人民币,,,,,,,,,,,,,,,,,,,,,61626.00,,,84519.35,95971.81,118675.93,138325.00,156023.00,182311.00,221113.00,266534.71,299366.76,346971.05,402181.27,414969.00,437836.00,503100.00,541376.69,593049.00
存款:广东:潮州市,百万人民币,,,,,,,,,,,,,,,,,,,,,16187.00,,,23168.21,27532.79,32897.05,37432.02,39374.00,47678.13,55631.15,65327.17,74318.12,83651.30,91934.85,100429.61,107600.00,120356.98,126702.42,136972.07
存款:广东:揭阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,23884.00,,,34383.11,40717.51,47360.23,54472.21,57267.00,72687.00,81618.00,96703.47,113076.61,131111.84,152969.36,170206.19,183787.00,201726.00,210704.60,227364.00
存款:广东:云浮市,百万人民币,,,,,,,,,,,,,,,,,,,,,11776.00,,,16698.15,18529.24,21740.06,25188.42,28197.00,33541.00,40534.64,48693.01,58165.64,65892.93,74490.04,82629.60,91588.00,102653.00,112085.94,119950.00
存款:广西:南宁市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,94340.21,109095.76,126363.47,158536.16,187151.01,232048.08,323136.24,402145.34,472814.00,568513.00,654898.00,706448.76,840873.00,905588.00,949218.00,
存款:广西:柳州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,43367.68,50335.44,56489.54,63765.96,72528.39,85226.34,121251.70,148042.89,159413.00,192332.00,235409.00,255366.41,282267.00,332135.38,371464.48,380175.00
存款:广西:桂林市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,41477.53,47151.69,53018.68,62326.02,69794.90,82222.15,110987.91,137666.84,154633.00,182993.47,206701.00,226975.54,260711.15,297980.00,328451.22,348872.00
存款:广西:梧州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,14459.24,16472.87,19031.17,22179.88,24902.52,29957.99,39689.57,49108.35,56588.00,66715.00,76147.00,85564.63,92140.50,104822.94,113618.00,
存款:广西:北海市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,14478.74,14806.33,16180.30,18727.90,21748.50,26957.53,37426.93,45212.77,50075.00,59347.00,65625.45,71755.13,75790.00,82511.35,94709.00,
存款:广西:防城港市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,5872.57,6935.89,7968.62,9736.91,12467.77,17075.37,23602.07,31113.82,35461.00,39623.50,44346.75,48206.00,52335.08,56786.75,62497.00,
存款:广西:钦州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9643.34,11517.79,13176.98,16157.38,20752.51,25744.25,37192.56,47386.36,53176.00,62272.00,70982.66,77386.00,82305.00,91254.00,97997.00,
存款:广西:贵港市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,15134.94,17582.94,19846.67,23255.62,26748.90,33702.72,42592.66,51336.44,60147.00,70611.00,82053.00,90574.92,97502.00,109100.00,126337.35,
存款:广西:玉林市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25404.32,28064.37,31007.05,36308.33,40665.04,49252.39,63205.65,76957.00,89890.00,104279.00,118165.00,130245.48,144702.46,163799.00,187856.00,
存款:广西:百色市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,13361.88,14356.54,17654.71,20727.77,24754.89,30466.80,43000.61,51163.24,57720.00,67676.00,77089.00,88055.56,94897.00,111267.00,123680.00,
存款:广西:贺州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,6617.65,7937.92,9387.82,12182.31,12788.70,15370.58,19556.33,25170.77,29890.00,34987.00,40539.00,45984.51,53577.00,61568.00,72531.18,
存款:广西:河池市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,13958.58,15869.95,17961.32,21803.88,25413.88,31059.28,39370.88,46604.16,53226.00,62838.00,73008.88,81438.76,88692.22,100241.88,112778.85,
存款:广西:来宾市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,7066.37,8841.65,10218.93,12205.13,14333.55,17363.22,23319.00,29745.39,35283.00,40738.96,44838.00,49483.74,52838.00,60711.00,70283.00,72457.00
存款:广西:崇左市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,8425.38,10128.29,11852.53,14736.96,16647.95,19799.27,24968.62,31231.62,37003.00,43738.00,50180.00,56154.76,60723.00,70013.00,78544.00,
存款:海南:海口市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,61855.05,70002.43,78919.12,92486.86,108790.79,135923.60,175006.70,223894.88,235961.34,263769.61,295518.64,315258.78,406971.00,498930.00,542027.11,
存款:海南:三亚市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,8948.11,10392.52,12268.69,16062.00,22288.35,28020.45,47823.88,61642.18,58687.30,67641.38,93088.66,97776.25,120942.00,149383.00,167666.21,152891.00
存款:重庆,百万人民币,2915.00,3398.00,3866.00,4522.00,7086.00,6238.00,8457.00,11037.00,12347.00,14671.00,19800.00,25357.00,31570.00,38686.00,51827.00,67670.00,88591.00,114792.00,135952.00,163821.00,198221.00,237799.00,290342.00,351282.00,410509.00,478476.00,558750.00,666236.00,810200.00,1108482.00,1361397.00,1612887.00,1942390.00,2278917.28,2450154.18,2877880.00,3216009.00,3485352.71,3688733.86
存款:四川:成都市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,324078.73,377154.42,447749.48,548534.32,639325.05,831708.49,1241593.16,1527724.64,1709802.21,2035400.00,2366200.00,2679750.23,3050762.02,3276106.09,3594638.97,3782570.00
存款:四川:自贡市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19708.90,23182.54,26583.17,29623.99,34088.82,42004.93,48985.23,55932.45,67679.97,82151.00,97497.00,107520.04,132166.46,152726.00,172652.87,171180.00
存款:四川:攀枝花市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,17275.51,19600.31,23107.66,27287.08,31051.86,39230.35,49167.79,57071.53,66125.62,76569.00,78418.00,80398.63,85822.39,94119.67,98344.71,104380.00
存款:四川:泸州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,23834.50,26495.08,30661.99,37090.25,42878.41,52124.64,67338.06,82722.52,100047.84,121384.00,141082.00,161298.04,183472.76,218271.00,247929.30,265370.00
存款:四川:德阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,33608.16,42310.29,48068.66,52140.79,58935.93,96090.67,121422.21,138803.09,150993.06,169110.00,179995.28,191854.17,208462.05,232767.00,248420.69,272010.00
存款:四川:绵阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,43337.26,49427.43,54462.11,62945.15,71098.76,115483.34,152465.70,178447.30,193265.61,212633.68,241030.00,262172.06,289691.77,319600.00,360892.74,386040.00
存款:四川:广元市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,12127.57,14100.00,16481.24,19673.57,23250.42,45276.51,61011.50,71715.00,75003.46,83331.69,93551.00,100664.38,113517.50,130333.00,141831.87,147980.00
存款:四川:遂宁市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,16509.73,18876.40,21472.45,24638.87,28901.37,37008.70,44519.79,52315.94,62586.69,74466.97,89329.00,98943.66,118938.63,138262.00,155759.41,157440.00
存款:四川:内江市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19879.72,22122.28,25563.44,28951.31,32142.15,40685.09,50770.90,59986.26,72713.29,88977.00,107947.00,113435.51,120450.85,137029.00,151649.28,165200.00
存款:四川:乐山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,24012.92,28227.95,31834.68,37710.09,41631.24,51835.29,66936.58,86740.57,103615.01,126689.29,152671.00,171347.40,172761.16,186482.00,208633.26,222350.00
存款:四川:南充市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,31164.37,36493.03,43078.08,50084.49,58995.42,76373.46,92139.67,110050.34,136235.84,167129.00,191656.00,215446.42,256782.24,305403.00,322713.69,331390.00
存款:四川:眉山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,16428.57,19147.98,22202.55,26284.37,30921.05,41252.60,50893.50,61524.10,76190.40,93278.00,111601.00,125522.35,143493.04,167664.00,196528.50,209450.00
存款:四川:宜宾市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,26319.81,29354.65,34682.16,40429.90,47122.36,58424.88,74227.52,94607.00,119982.24,146639.97,157463.44,168522.77,191420.99,233105.00,265944.65,298560.00
存款:四川:广安市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19319.18,22525.08,26195.82,30461.69,34907.33,42830.94,42440.83,63884.99,76969.29,93730.00,111390.00,126518.91,142532.68,166360.00,182983.75,186830.00
存款:四川:达州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,26700.85,31957.66,37742.86,43779.32,50454.83,63435.11,76352.19,90107.73,109881.64,131720.00,158805.00,175237.38,208768.20,262702.00,280384.84,292890.00
存款:四川:雅安市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,11086.71,13139.76,14828.46,18128.40,21539.03,30754.23,39431.75,45434.00,51681.34,59292.00,84288.92,97424.67,100973.82,104333.00,110576.90,112690.00
存款:四川:巴中市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,7096.15,8842.25,10949.44,13628.57,17349.61,23777.00,29285.77,35499.00,46816.35,56860.00,67861.00,77726.88,92194.20,114638.00,124801.93,124790.00
存款:四川:资阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,18340.33,21107.81,24078.81,28573.55,33978.71,43738.61,55852.96,67498.69,78753.14,92980.00,108700.00,124584.01,137944.33,167528.00,135709.25,141970.00
存款:贵州:贵阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,89360.25,106802.69,126042.83,149417.07,166747.18,199477.56,245442.82,303530.89,360364.68,439437.00,574208.72,699219.60,877222.00,992830.00,1081451.06,1135744.00
存款:贵州:六盘水市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,12823.14,16858.84,19639.00,22683.16,27027.48,34188.70,42405.33,50080.69,57701.72,67621.15,75441.92,81709.12,97680.00,120775.00,135129.27,129514.00
存款:贵州:遵义市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29415.00,35456.82,42413.76,49843.88,59077.95,74284.61,92059.23,115699.86,140297.55,171221.69,222259.14,256760.05,330446.00,430582.00,466121.87,481692.00
存款:贵州:安顺市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9651.91,11651.17,13856.68,15625.33,16885.23,21188.77,27788.99,36218.57,42796.93,48428.00,60977.20,66027.75,,,,
存款:云南:昆明市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,177026.38,216237.11,254426.64,303270.83,363419.60,431361.00,584943.00,663951.00,755489.00,883946.00,1008536.00,1058221.57,,,,
存款:云南:曲靖市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,28670.00,34227.23,40107.95,47303.12,56811.19,68626.36,83592.35,101741.71,118038.00,140422.00,160384.00,170234.00,183333.00,,,
存款:云南:玉溪市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,33988.48,36666.89,40411.89,45830.00,49733.07,56448.67,69937.04,81600.64,91754.00,100171.00,112917.00,119559.01,,,,
存款:云南:保山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9113.00,10427.10,12125.86,14453.62,17618.90,20459.13,26037.12,34694.62,41583.00,48319.00,55575.00,63823.16,,,,
存款:云南:昭通市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,10162.74,12933.29,16491.45,20270.36,23834.91,29861.26,38617.75,52035.18,61970.34,76841.89,85859.31,104328.56,120902.88,139836.00,149696.62,156038.00
存款:云南:丽江市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,7530.13,8460.06,9704.01,11628.21,13804.99,17052.11,21870.73,29761.71,34880.00,41781.00,48362.00,51843.61,,,,
存款:云南:普洱市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9262.79,10819.00,12762.00,16196.11,19842.08,21361.00,27260.00,36390.65,42373.00,49286.00,60074.00,66701.24,76055.00,87912.00,91416.00,
存款:云南:临沧市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,6117.96,6666.39,7646.59,9361.43,11488.82,13481.99,19525.46,24005.59,30041.00,34706.00,40477.00,44546.53,,,,
存款:西藏:拉萨,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,,,,,43338.00,54960.00,68433.00,,110729.97,130800.00,155822.00,183753.00,213037.00,,,280506.00
存款:陕西:西安市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,266586.82,306165.78,359970.36,406615.79,456031.00,571127.00,752208.00,904415.00,1043026.97,1228596.00,1389277.00,1506409.69,1803690.00,1948838.00,2037811.00,2126672.00
存款:陕西:铜川市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,7204.75,9121.53,9855.00,11588.14,12637.73,16586.00,20662.06,25091.85,29644.82,35249.00,39282.00,41185.08,45178.00,,,
存款:陕西:宝鸡市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,34185.00,39239.10,45950.00,55291.53,61158.00,73710.96,91284.00,107677.00,122081.74,145084.00,164711.35,183413.69,209209.99,236440.64,260898.78,
存款:陕西:咸阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,36368.52,40281.59,47129.37,52270.40,59046.37,73364.93,93600.21,114246.12,133461.40,157048.00,181167.00,196530.92,225652.00,,,
存款:陕西:渭南市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,29593.98,34954.53,41122.81,47151.81,51980.06,65174.69,84723.34,99847.00,113163.62,134934.00,152240.00,166457.71,183737.00,,,
存款:陕西:延安市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,17607.03,22137.65,31099.00,39514.83,44205.41,54575.23,64536.12,72854.00,82673.15,98777.00,110447.00,123231.41,136095.00,145246.00,,
存款:陕西:汉中市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,23240.00,26763.03,30797.41,36998.00,40458.00,53407.26,67657.16,79811.27,93282.00,107421.00,124683.00,139066.65,,,,
存款:陕西:榆林市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,17094.78,22928.00,35723.95,48344.00,59465.43,88692.89,116866.94,145272.00,184450.77,225482.00,242870.00,261824.00,,303004.00,340944.00,385276.00
存款:陕西:安康市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,11498.99,13936.48,16358.29,19582.35,22543.95,30015.85,38312.91,47553.92,56737.59,67389.00,79035.00,88451.09,,,,
存款:陕西:商洛市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9074.79,10692.00,13137.95,16695.00,20516.00,25632.00,31996.39,38300.00,44665.90,51930.00,58937.00,67144.00,80150.00,,,
存款:甘肃:兰州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,106789.53,123900.52,142191.74,161551.38,179112.32,215629.00,262119.79,323584.48,383354.71,458925.64,549915.05,661751.46,794582.00,862311.21,851359.00,871644.00
存款:甘肃:嘉峪关市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,4993.42,5680.51,6758.61,8128.34,9445.73,12864.08,15443.85,17097.68,21451.34,26172.00,29530.24,33087.00,32195.00,31671.00,,
存款:甘肃:金昌市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,5662.35,8220.90,9961.00,11847.58,14477.13,13899.80,16052.28,17218.01,20219.83,22345.00,26639.09,29777.83,32572.00,32959.12,34637.41,37148.99
存款:甘肃:白银市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9989.22,11894.98,14411.23,16823.15,19025.05,26937.43,31279.72,34844.34,39342.28,46700.00,52428.56,57897.35,63204.00,68324.00,70591.00,73916.00
存款:甘肃:天水市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,12493.00,14388.85,16744.00,19793.93,22088.26,28330.35,38607.47,46325.35,54182.84,65670.00,79135.16,89731.26,,,,
存款:甘肃:武威市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,9520.10,10550.12,12291.08,13891.34,15531.75,20008.42,26111.83,32348.27,39536.72,48698.00,60507.64,70433.75,81609.00,82739.00,79783.00,85277.00
存款:甘肃:张掖市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,7935.00,9138.00,10609.52,12103.02,13112.00,16051.00,21436.00,26303.87,31948.48,37331.00,43645.34,50050.79,56394.00,,,
存款:甘肃:平凉市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,8947.00,10413.68,11643.00,13324.00,15219.00,21639.00,27474.00,32659.00,39603.12,47272.00,59034.27,62403.00,70219.00,73606.00,80362.00,84441.00
存款:甘肃:酒泉市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,17863.00,20688.92,24920.00,26100.00,27660.94,32553.00,40578.00,48396.39,55887.46,65683.00,76435.01,84073.00,93830.00,92570.00,90420.00,94970.00
存款:甘肃:庆阳市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,10653.50,11464.36,13089.15,14784.19,17200.15,22045.79,28956.56,35417.62,41087.80,50649.00,59997.56,66930.94,81467.00,,,
存款:甘肃:定西市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,6179.50,7284.99,8468.81,9820.16,12233.88,15624.18,21326.51,26968.14,32401.76,41006.00,51798.88,59208.74,69763.00,76541.00,78496.00,
存款:甘肃:陇南市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,,8562.00,10407.36,13578.53,16259.89,28977.00,34178.00,39230.00,41023.77,47708.00,56895.78,62554.00,72324.00,78291.00,82096.00,89234.00
存款:青海:西宁市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,39103.91,43402.17,53190.09,64547.99,79151.95,99882.12,130063.26,162321.04,186487.87,,282247.28,310476.13,,,,
存款:宁夏:银川市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,46413.05,51394.63,61268.51,71822.99,80965.92,99390.64,127896.71,159796.13,181019.99,,234093.09,260896.85,,,,
存款:宁夏:石嘴山市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,10645.13,11784.25,14559.06,15567.05,16855.82,22163.42,29205.58,34103.41,41863.42,,50516.05,48185.80,,,,
存款:宁夏:吴忠市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,14008.70,10347.22,11686.70,12528.53,14533.41,17818.80,21364.26,26967.67,31961.68,,41744.15,47487.70,,,,
存款:宁夏:固原市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,3428.50,3456.96,4170.76,5067.24,6497.13,8328.66,11550.59,11550.59,18208.76,,27104.74,30418.36,34615.00,,,
存款:宁夏:中卫市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,,6014.30,6849.02,8157.04,8996.03,11356.14,15854.59,19844.88,23632.65,,33389.00,33917.65,,,,
存款:新疆:乌鲁木齐市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,108580.00,122717.00,140754.00,168554.00,205609.00,237196.00,293518.04,359642.98,408050.00,481766.00,561186.00,623397.00,698460.00,,,
存款:新疆:克拉玛依市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,17124.19,18463.77,23190.33,27268.71,28588.77,32048.25,49214.05,79249.33,86080.00,93672.00,110841.00,89067.88,,,,
